month,metric
2020-01-01,9405
2020-02-01,6853
2020-03-01,8371
2020-04-01,14071
2020-05-01,18347
2020-06-01,19536
2020-07-01,31217
2020-08-01,35296
2020-09-01,43058
2020-10-01,44162
2020-11-01,41561
2020-12-01,41780
2021-01-01,67085
2021-02-01,58917
2021-03-01,66082
2021-04-01,57941
2021-05-01,58996
2021-06-01,63445
2021-07-01,69464
2021-08-01,85604
2021-09-01,94428
2021-10-01,88879
2021-11-01,82698
2021-12-01,100904
2022-01-01,120967
2022-02-01,110160
2022-03-01,135197
2022-04-01,138715
2022-05-01,194486
2022-06-01,279695
2022-07-01,154160
2022-08-01,152163
2022-09-01,152895
2022-10-01,159060
2022-11-01,133073
2022-12-01,154465
2023-01-01,153638
2023-02-01,143193
2023-03-01,162957
2023-04-01,147236
2023-05-01,170621
2023-06-01,166975
2023-07-01,140487
2023-08-01,202712
2023-09-01,137264
